,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
NGS247_0011R_RFS38,-9.388274041466005,16.558646742422994,-6.864707724574813,4.908720349313774,7.337708951671039,-0.24789510743794085,-1.8793052571208972,-1.2665164800310629,0.40184168722126,-1.0123507228429336
NGS247_0012R_RFS39,-1.1912824695992903,15.767861182943559,-2.9960985123606494,6.519465644345438,7.635384060512159,-0.3719623110084623,-0.21398073344517116,0.595550175861743,2.0506558074336656,-1.9821172890891836
NGS247_0013R_RFS40,-18.10335321601753,15.083502171703634,7.345983546435584,2.175502565722911,-6.736616412414649,1.4681391240167585,-0.40367784537333096,-0.6433217604176711,0.2953963672688353,0.5043271589682131
NGS247_0014R_RFS41,-1.9075470937806829,23.428350666103224,4.096253027568023,1.8165834841708794,-4.055676439872197,2.679192979126226,2.0311974599203895,-3.362664030959285,-2.379226312817703,0.10855093144933635
NGS247_0015R_RFS42,-14.121855519140167,25.82475644764129,-0.5282659692345754,-3.4746893620085597,-3.7151862538268428,1.4233075799689325,1.0722993051939802,-3.1164741768350104,0.8509051917972457,0.23762940976170555
NGS247_0016R_RFS43,-16.76357157236867,1.9697681114791505,11.953493647722992,-6.709356462576615,0.7890616734690116,-2.681520948492963,-2.075761515229448,1.4721690108254168,0.3867618604939507,-0.6673903679178081
NGS247_0017R_RFS44,4.543849887317404,12.019064235854055,4.271025656220239,-8.92923957530639,1.5012861600975769,-2.147157496847211,-0.28000651312538993,4.360519076487608,-0.3990377077851007,0.0899620281789732
NGS247_0018R_RFS45,22.02574968191306,10.37360038126786,7.732210090320068,-4.749601731570011,-0.08302084485553649,-3.327466535476452,-0.9365083240870482,5.646806907848201,-0.8729137048112351,-1.1210960899186782
NGS247_0019R_RFS46,0.3420544996543153,-1.9859663531497653,-10.96199283517341,-3.253869121495205,1.2138997429383147,-2.97179213256557,-0.49346879925651077,-1.2508981733946682,-1.0569218413830062,1.1434164203601487
NGS247_0020R_RFS47,-26.671133352267766,-5.418930321178417,-9.988590531765386,-3.8744967030924933,2.317386089467257,-1.6147303381569003,-3.4897999303920746,-0.32190953245820014,-2.702420522416661,4.866901929287897
NGS247_0021R_RFS48,-5.834770670436074,-4.592206533647973,-7.289496447597259,-0.4613790090924652,0.9450393363740074,-0.7110544809247858,-0.8243511366258292,-0.2770943326098183,-4.541165010993543,-2.20671160798044
NGS247_0022R_RFS49,9.62173158728309,-0.5892150102528654,-7.404239345541624,-3.3877100115978864,0.6396225798913746,5.038529918344022,-1.0775898672211064,0.35722299534514157,0.7654627972129312,-3.2219149844966877
NGS247_0023R_RFS50,1.9301698595599155,-8.260050053662763,-2.3440151426812332,-0.6088658162185318,-2.2328833622843796,3.7505145732909426,0.02031064587436653,2.017931587480377,-0.18955808612515643,5.051283069835787
NGS247_0024R_RFS51,15.282512549171763,-5.587634429041711,-0.024942594083385734,0.5427116567747223,0.7346899654376277,6.916328315279778,-2.7294330358822294,0.5758348314021315,-2.2673377407937476,-0.1854070634430603
NGS247_0025R_RFS52,38.130694279255174,-3.332353539833768,5.797743667961332,4.055729461587201,-2.5607692695651747,-2.0664193974367415,-5.975924694136764,-4.563461361157401,-3.2628093767350848,-0.688857635275904
NGS247_0026R_RFS53,15.000600802360168,-8.249093587054366,5.574570516631919,0.011573442466934494,0.4923906401271998,-3.0454503458099142,0.8364780078041468,-2.337444131997662,3.721151219235964,2.74767111371468
NGS247_0027R_RFS54,8.969621155498793,-5.382125831566997,2.966868642047883,-2.4901199509712266,3.312522117286891,-0.9740842253194477,1.8338481859387432,-3.230238619339745,-0.38283482082456316,3.74947568294507
