feature,variance,variance_rank,logreg_importance,logreg_rank,rf_importance,rf_rank,avg_rank
LOC_Os07g38800,1.4908680291760652,330,0.0157763687838204,317,0.006860453203910869,39,228.66666666666666
LOC_Os04g12150,2.4035969154269616,100,0.02743374612741782,119,0.0,468,229.0
LOC_Os11g13620,1.3506697565503019,444,0.03072699836282076,93,0.0020256729810568296,150,229.0
LOC_Os02g50450,1.7038105768126839,228,0.015451617378483678,327,0.0024152542372881365,134,229.66666666666666
LOC_Os04g46980,1.3921431545938243,400,0.018615183642309494,261,0.008642303093670584,29,230.0
LOC_Os11g42200,1.9364367056114655,170,0.0298463051439052,100,0.0,421,230.33333333333334
LOC_Os08g29910,1.4107187329578619,380,0.03680941039910746,60,0.0,253,231.0
LOC_Os07g39860,1.5855496490087675,283,0.01652421581753911,304,0.0030937499999999997,112,233.0
LOC_Os02g42460,1.780694557603257,207,0.025425552829747036,140,0.0,352,233.0
LOC_Os02g45160,1.3863396274790323,406,0.030794791907876082,91,0.0009917355371900827,203,233.33333333333334
LOC_Os02g36230,1.3348262201477625,464,0.04480121065349399,34,0.0009884937238493726,205,234.33333333333334
LOC_Os03g39760,1.736456236153254,217,0.029199372608057883,104,0.0,382,234.33333333333334
LOC_Os02g36530,1.513627769432185,317,0.015812212289023953,316,0.004562500000000001,72,235.0
LOC_Os10g31780,3.9054497018899266,24,0.012452955598613364,377,0.0,304,235.0
LOC_Os03g07600,2.194551265662938,117,0.012302934564607381,379,0.0009563164108618656,212,236.0
LOC_Os06g08900,1.3169215124141007,483,0.04250068924362863,41,0.0010400616332819725,185,236.33333333333334
LOC_Os01g72460,1.3761892888713159,416,0.01934148690718753,250,0.00614693406802589,43,236.33333333333334
LOC_Os02g12070,3.128855493800628,48,0.01430999290209771,345,0.0,317,236.66666666666666
LOC_Os10g37100,2.5822277704002,84,0.022228159417807033,193,0.0,436,237.66666666666666
LOC_Os02g10880,1.3763219208200304,414,0.019712215845507808,245,0.005274671852211959,56,238.33333333333334
LOC_Os04g19670,1.8083522427333834,200,0.02444936289235135,158,0.0,357,238.33333333333334
LOC_Os09g30490,1.5442212266897937,303,0.014656108983850419,338,0.004425327176675405,76,239.0
LOC_Os06g38660,1.4096943782624864,381,0.032694985853523754,80,0.0,257,239.33333333333334
LOC_Os01g57610,1.5039590278502588,322,0.020524107191856086,226,0.0011773255813953489,171,239.66666666666666
LOC_Os06g05010,3.1210018327803954,51,0.014076987510861672,348,0.0,320,239.66666666666666
LOC_Os11g44900,1.3224784487828969,476,0.028022689103577015,116,0.0025961538461538466,127,239.66666666666666
LOC_Os02g26770,1.9362452308796276,171,0.026157739432543764,130,0.0,420,240.33333333333334
LOC_Os05g30100,1.3352547855623234,462,0.032534348446916266,81,0.0010465116279069766,181,241.33333333333334
LOC_Os07g22730,1.9184164641856656,175,0.026012514914695913,135,0.0,417,242.33333333333334
LOC_Os01g37630,1.9677131773864258,159,0.02275402457837772,176,0.0,392,242.33333333333334
LOC_Os02g12530,1.4155070172906632,373,0.02875958531226655,110,0.0,245,242.66666666666666
LOC_Os01g68660,1.3352225847319663,463,0.028831364532295168,107,0.0018966942148760336,158,242.66666666666666
LOC_Os09g26920,1.3596451168271715,432,0.02627624990712968,128,0.0011886792452830194,170,243.33333333333334
LOC_Os02g18920,1.4085523397818505,382,0.020916274846319638,220,0.002510330578512397,131,244.33333333333334
LOC_Os06g38764,1.8298507868515101,193,0.008266521149728026,438,0.0035887749595250947,105,245.33333333333334
LOC_Os08g40690,2.1159069000262916,128,0.022255072096356302,192,0.0,419,246.33333333333334
LOC_Os06g41340,1.3315540521854994,470,0.020535144286913682,225,0.006064003564003563,45,246.66666666666666
LOC_Os01g57854,1.7968350904386532,203,0.0055351821831945884,475,0.004971806167400879,64,247.33333333333334
LOC_Os01g40950,2.6664897537502616,79,0.005482617938986349,478,0.0010365009439899302,186,247.66666666666666
LOC_Os09g25060,1.6053271906310844,270,0.017956634625541656,279,0.00101427498121713,195,248.0
LOC_Os04g23550,2.7638037320495092,73,0.015123456896607587,331,0.0,344,249.33333333333334
LOC_Os02g36140,1.8124398980261214,197,0.02229608398748532,191,0.0,360,249.33333333333334
LOC_Os06g20790,2.885414792574628,64,0.008523078695668944,435,0.0,249,249.33333333333334
LOC_Os09g15670,1.4057847112266622,386,0.030041772318076008,97,0.0,267,250.0
LOC_Os04g27060,2.4568405300671516,94,0.02404314926297456,162,0.0,495,250.33333333333334
LOC_Os09g33680,2.0407000147090324,142,0.02166839153701443,207,0.0,402,250.33333333333334
LOC_Os12g36830,2.0112519108189266,147,0.008963787557623915,429,0.0010818933132982723,175,250.33333333333334
LOC_Os09g38350,3.494452511404273,34,0.008039394155235248,441,0.0,280,251.66666666666666
LOC_Os07g09620,1.3376968094446164,460,0.02203865288613051,200,0.0038391154300245205,96,252.0
LOC_Os05g48680,1.4084211308758332,383,0.016703895734924357,301,0.004480796586059745,73,252.33333333333334
LOC_Os08g28710,1.5222093058935195,316,0.07667047429139646,3,0.0,442,253.66666666666666
LOC_Os01g38110,2.0716171572796482,136,0.011228579607576214,399,0.0005648535564853557,227,254.0
LOC_Os01g41450,2.1706147928013606,118,0.017610516793930192,290,0.0,354,254.0
LOC_Os07g40040,1.5434588144731964,305,0.04740125676217031,25,0.0,432,254.0
LOC_Os02g49720,2.3222308936073923,107,0.017782232963973004,286,0.0,369,254.0
LOC_Os09g17152,1.530259203336064,312,0.016055132944416527,309,0.00219526884598655,142,254.33333333333334
LOC_Os03g03280,1.8362125241648317,189,0.02098733506897044,218,0.0,356,254.33333333333334
LOC_Os02g08200,1.56232471852837,295,0.045689904127559466,28,0.0,440,254.33333333333334
LOC_Os05g08830,1.958202995872892,163,0.0211703702748201,213,0.0,389,255.0
LOC_Os01g21590,1.6453325924504383,253,0.01548017227347454,326,0.0010312500000000003,187,255.33333333333334
LOC_Os11g40840,1.6672251382933292,243,0.035831000198612344,61,0.0,463,255.66666666666666
LOC_Os02g17534,1.509468924660941,320,0.029435963846101008,103,0.0,345,256.0
LOC_Os04g56560,1.52584843964731,313,0.016033587329065967,310,0.0021601006648853532,145,256.0
LOC_Os12g43880,1.4016552687395345,391,0.022448105435625434,184,0.0010167364016736404,193,256.0
LOC_Os02g26810,1.6988824320494882,229,0.0233237253514401,169,0.0,371,256.3333333333333
LOC_Os01g70590,1.4265470014372303,361,0.024783563774807508,151,0.0,261,257.6666666666667
LOC_Os05g35290,3.159249722284673,46,0.009795368909150523,418,0.0,313,259.0
LOC_Os03g13030,1.5579706830192825,298,0.018198200082433582,274,0.000980629539951574,206,259.3333333333333
LOC_Os11g05380,2.6091506432044045,81,0.018355413117957475,270,0.0,427,259.3333333333333
LOC_Os11g34170,1.3667651103924183,427,0.05409205546231296,18,0.0,337,260.6666666666667
LOC_Os11g07700,1.3159261868026202,484,0.02324193385365937,172,0.002530032467532467,130,262.0
LOC_Os09g09560,1.589663824798656,280,0.058168586076775365,16,0.0,491,262.3333333333333
LOC_Os08g35580,1.4855012668485483,332,0.07276777706070091,5,0.0,451,262.6666666666667
LOC_Os11g42989,1.7207258645872658,224,0.004966213640141873,484,0.004324237752997939,82,263.3333333333333
LOC_Os12g39310,1.8166630969679705,196,0.0201987164093397,235,0.0,361,264.0
LOC_Os02g41680,1.8040222292141328,201,0.01989470171467498,239,0.0,355,265.0
LOC_Os04g48850,1.4575590742647044,347,0.020516378196240602,228,0.000743801652892562,221,265.3333333333333
LOC_Os11g07690,3.8699450004522538,27,0.0018469507793043728,496,0.0,275,266.0
LOC_Os02g32770,1.8995299479789798,180,0.021749832707789848,206,0.0,412,266.0
LOC_Os02g12540,2.149728981604859,122,0.015861857416264728,314,0.0,363,266.3333333333333
LOC_Os09g07250,1.2981663343533536,499,0.06508793043148668,10,0.0,293,267.3333333333333
LOC_Os03g52410,1.3010446981008086,496,0.06347502415567281,11,0.0,296,267.6666666666667
LOC_Os10g41330,1.4083797615835403,384,0.024602864618800527,155,0.0,265,268.0
LOC_Os02g10830,1.7368496588814761,216,0.02064755714053092,223,0.0,367,268.6666666666667
LOC_Os10g38160,1.382938132870799,410,0.033576627617514024,75,0.0,321,268.6666666666667
LOC_Os05g44340,1.3191239238199193,480,0.02950128277917111,102,0.0006367924528301888,225,269.0
LOC_Os01g56240,1.6362167602320419,258,0.03286497891908006,79,0.0,470,269.0
LOC_Os01g09870,1.635201154139889,259,0.008558881520784475,432,0.0030123966942148766,116,269.0
LOC_Os08g04800,1.6890884107631836,234,0.010785499406854193,406,0.0014338590280012873,167,269.0
LOC_Os04g46710,1.3794879456120748,412,0.033150244161707226,77,0.0,319,269.3333333333333
LOC_Os01g02120,1.4921428557301513,327,0.019098861764715706,256,0.0005720338983050847,226,269.6666666666667
LOC_Os01g37610,1.9704988521154188,157,0.018380615798152155,267,0.0,386,270.0
LOC_Os11g03860,1.3984174347021134,396,0.02206103386352624,199,0.0008472803347280334,215,270.0
LOC_Os05g25360,1.3401653939713154,451,0.03134149846576081,87,0.0,273,270.3333333333333
LOC_Os04g17470,1.3470852581993389,446,0.04306387566625262,38,0.0,330,271.3333333333333
LOC_Os06g05960,1.3684194894176223,423,0.02687613279013679,123,0.0,271,272.3333333333333
LOC_Os12g36880,2.258168719327353,113,0.01522124778697793,329,0.0,376,272.6666666666667
LOC_Os01g41430,1.4494367948547178,348,0.01176721606226673,390,0.004161706725301387,86,274.6666666666667
LOC_Os03g07590,2.212271028169152,115,0.01504777636530817,332,0.0,379,275.3333333333333
LOC_Os03g60080,1.7231008977221438,222,0.020522363039716187,227,0.0,377,275.3333333333333
LOC_Os02g30070,1.3081772156209825,489,0.02244707735015214,185,0.0020021186440677967,153,275.6666666666667
LOC_Os09g04624,1.4037407993092808,389,0.02249863917247109,183,0.0,259,277.0
LOC_Os06g20820,1.735743306574194,218,0.0054928966321069065,477,0.002383474576271186,136,277.0
LOC_Os11g29870,1.6122759247802547,267,0.006863206600822653,460,0.0035938791974404155,104,277.0
LOC_Os12g32020,1.418892441019813,369,0.017764636527535127,287,0.0010774410774410772,176,277.3333333333333
LOC_Os07g31230,1.300234999918716,497,0.04240056404616435,42,0.0,295,278.0
LOC_Os07g39720,1.8886767391766277,183,0.019756189979133813,243,0.0,409,278.3333333333333
LOC_Os01g70525,2.3907744009536147,101,0.01840329527120782,266,0.0,469,278.6666666666667
LOC_Os05g50610,1.5746896587972654,289,0.03328565508615374,76,0.0,473,279.3333333333333
LOC_Os02g42450,1.317912356468405,482,0.018328329337993592,271,0.003956043956043955,91,281.3333333333333
LOC_Os03g25490,1.4139824567169255,375,0.020655943066011036,222,0.0,248,281.6666666666667
LOC_Os10g28094,1.3066879815721957,490,0.035720689987407864,62,0.0,299,283.6666666666667
LOC_Os12g03920,1.4112026229757666,379,0.02062328492850257,224,0.0,252,285.0
LOC_Os01g47070,1.6959347061337338,232,0.005432570866414099,479,0.002082644628099174,147,286.0
LOC_Os04g49690,1.3129455885407695,486,0.021483553976084147,209,0.0014876033057851243,165,286.6666666666667
LOC_Os04g10160,1.988977043781613,152,0.015937718118711,311,0.0,398,287.0
LOC_Os03g59320,1.6023579702469064,271,0.006114865224433095,467,0.0027239709443099276,124,287.3333333333333
LOC_Os06g17020,1.6118999641886798,268,0.028533100112701965,112,0.0,483,287.6666666666667
LOC_Os02g32450,1.3323575357716637,469,0.02772775090778401,118,0.0,278,288.3333333333333
LOC_Os07g31160,1.6443623474165512,254,0.0254384612335533,139,0.0,472,288.3333333333333
LOC_Os08g39840,1.6603057737080618,246,0.025178528000052002,142,0.0,478,288.6666666666667
LOC_Os04g44510,1.579795656354894,288,0.03047233976658698,95,0.0,485,289.3333333333333
LOC_Os01g32770,1.9038986706901784,178,0.018030971917641327,278,0.0,414,290.0
LOC_Os06g09190,1.98211114615419,153,0.015682799869926267,321,0.0,397,290.3333333333333
LOC_Os09g26710,1.4743566190707595,340,0.028795176140158817,108,0.0,424,290.6666666666667
LOC_Os01g64450,1.558979737582882,297,0.025674181797640153,138,0.0,439,291.3333333333333
LOC_Os05g08880,1.4201404200520125,368,0.01921126947636856,253,0.0,254,291.6666666666667
